timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1524434585.387458,-0.004754,0.176017,2.059532,0.037700,0.066520,-0.019784,-0.004681,-0.175109,-0.984538,-0.006550,-0.009324,0.038386,20.328003,-20.515865,-48.797546,,,,,,,
1524434585.407478,-0.003442,0.176493,2.059464,0.019323,0.050615,0.003541,-0.003388,-0.175578,-0.984459,-0.011245,-0.011220,0.011422,20.794830,-21.510880,-49.684509,,,,,,,
1524434585.427497,-0.002871,0.176721,2.059073,0.012154,0.010197,-0.034877,-0.002826,-0.175802,-0.984421,0.042621,0.018774,-0.011428,21.031601,-22.778999,-50.483093,,,,,,,
1524434585.447517,-0.002589,0.177149,2.058164,0.030258,0.012330,-0.029426,-0.002548,-0.176224,-0.984347,-0.010239,0.018799,0.028322,20.827484,-23.289989,-50.991943,,,,,,,
1524434585.467536,-0.001784,0.178260,2.058253,0.075758,0.043197,0.019910,-0.001756,-0.177317,-0.984152,-0.028533,0.002879,0.052008,19.871918,-24.118320,-51.021362,,,,,,,
1524434585.487556,-0.001302,0.179926,2.058539,0.080076,0.014504,0.011412,-0.001281,-0.178956,-0.983856,0.025085,-0.015441,0.020813,19.139786,-22.753540,-49.595154,,,,,,,
1524434585.507575,-0.001266,0.180725,2.058456,0.007643,-0.000396,-0.009327,-0.001246,-0.179743,-0.983713,0.028116,-0.013540,-0.033866,19.188583,-22.143875,-49.049438,,,,,,,
1524434585.527625,-0.000705,0.180206,2.058758,-0.026834,0.052774,0.030943,-0.000694,-0.179232,-0.983806,-0.053292,-0.029096,0.009060,19.396149,-21.715370,-48.116943,,,,,,,
1524434585.547645,0.000513,0.180073,2.059378,0.005261,0.069764,0.025830,0.000505,-0.179102,-0.983830,-0.013246,-0.020819,0.049504,20.621124,-21.358974,-48.141663,,,,,,,
1524434585.567664,0.001620,0.180341,2.059654,0.009729,0.054860,0.002411,0.001594,-0.179365,-0.983781,0.013710,-0.012652,0.015062,20.275452,-21.716187,-48.379578,,,,,,,
1524434585.587684,0.002816,0.180071,2.059406,-0.018984,0.063345,-0.009507,0.002770,-0.179099,-0.983827,0.004020,0.001411,-0.015883,21.266144,-21.274113,-49.362366,,,,,,,
1524434585.607703,0.004311,0.180025,2.059663,0.012753,0.087824,0.025880,0.004241,-0.179054,-0.983830,-0.022155,-0.015556,0.047978,22.380066,-22.060452,-49.981812,,,,,,,
1524434585.627723,0.005786,0.180342,2.059970,0.010776,0.063364,0.005616,0.005692,-0.179366,-0.983766,0.023894,0.003249,0.015901,21.615738,-22.859394,-51.024414,,,,,,,
1524434585.647742,0.007094,0.180359,2.060072,-0.000999,0.070804,0.009800,0.006979,-0.179383,-0.983754,-0.000372,0.011917,0.006200,20.981155,-23.733097,-51.452576,,,,,,,
